source_x_coordinate,source_y_coordinate
1.614,1.422
waypoint_number,x_coordinate,y_coordinate,signal_strength
0,0.448,0.257,-26
1,0.413,0.282,-28
2,0.434,0.413,-20
3,0.422,0.552,-25
4,0.43,0.645,-33
5,0.429,0.785,-32
6,0.431,0.922,-29
7,0.424,1.016,-25
8,0.43,1.153,-26
9,0.429,1.291,-25
10,0.431,1.385,-33
11,0.433,1.522,-39
12,0.43,1.664,-33
13,0.415,1.759,-32
14,0.435,1.894,-26
15,0.429,2.037,-32
16,0.428,2.175,-32
17,0.42,2.266,-41
18,0.433,2.401,-26
19,0.431,2.545,-24
20,0.52,2.603,-31
21,0.581,2.536,-23
22,0.54,2.409,-22
23,0.553,2.268,-21
24,0.555,2.129,-20
25,0.554,1.996,-18
26,0.556,1.901,-19
27,0.56,1.766,-18
28,0.553,1.631,-18
29,0.571,1.534,-20
30,0.555,1.397,-24
31,0.559,1.26,-26
32,0.555,1.123,-23
33,0.568,1.032,-30
34,0.554,0.897,-23
35,0.558,0.759,-25
36,0.548,0.666,-25
37,0.557,0.529,-26
38,0.556,0.39,-26
39,0.56,0.256,-33
40,0.628,0.217,-26
41,0.726,0.278,-29
42,0.704,0.409,-19
43,0.703,0.549,-23
44,0.687,0.641,-26
45,0.7,0.779,-30
46,0.694,0.914,-19
47,0.7,1.054,-20
48,0.688,1.144,-20
49,0.704,1.28,-22
50,0.698,1.417,-22
51,0.703,1.552,-30
52,0.691,1.632,-31
53,0.71,1.787,-34
54,0.712,1.922,-23
55,0.688,2.011,-26
56,0.701,2.149,-38
57,0.7,2.285,-33
58,0.705,2.423,-26
59,0.708,2.507,-28
60,0.79,2.558,-34
61,0.844,2.51,-20
62,0.824,2.385,-18
63,0.834,2.239,-19
64,0.822,2.163,-20
65,0.821,2.009,-19
66,0.826,1.869,-19
67,0.837,1.78,-15
68,0.828,1.648,-15
69,0.83,1.505,-21
70,0.822,1.409,-22
71,0.83,1.273,-27
72,0.826,1.135,-37
73,0.829,0.999,-31
74,0.819,0.907,-24
75,0.828,0.77,-27
